date,cumDeath
2021-03-07,71138
2021-03-08,71436
2021-03-09,71727
2021-03-10,71961
2021-03-11,72085
2021-03-12,72258
2021-03-13,72258
2021-03-14,72258
2021-03-15,72424
2021-03-16,72565
2021-03-17,72793
2021-03-18,72910
2021-03-19,72910
2021-03-20,72910
2021-03-21,72910
2021-03-22,73543
2021-03-23,73744
2021-03-24,73744
2021-03-25,74420
2021-03-26,75010
2021-03-27,75010
2021-03-28,75010
2021-03-29,75199
2021-03-30,75305
2021-03-31,75459
2021-04-01,75541
2021-04-02,75541
2021-04-03,75698
2021-04-04,75698
2021-04-05,75783
2021-04-06,75911
2021-04-07,76037
2021-04-08,76179
2021-04-09,76328
2021-04-10,76328
2021-04-11,76328
2021-04-12,76525
2021-04-13,76625
2021-04-14,76756
2021-04-15,76882
2021-04-16,76981
2021-04-17,76981
2021-04-18,76981
2021-04-19,77102
2021-04-20,77102
2021-04-21,77364
2021-04-22,77496
2021-04-23,77591
2021-04-24,77591
2021-04-25,77591
2021-04-26,77738
2021-04-27,77855
2021-04-28,77943
2021-04-29,78080
2021-04-30,78216
2021-05-01,78216
2021-05-02,78216
2021-05-03,78293
2021-05-04,78399
2021-05-05,78566
2021-05-06,78726
2021-05-07,78792
2021-05-08,78792
2021-05-09,78792
2021-05-10,78895
2021-05-11,79100
2021-05-12,79208
2021-05-13,79281
2021-05-14,79339
2021-05-15,79339
2021-05-16,79339
2021-05-17,79432
2021-05-18,79502
2021-05-19,79568
2021-05-20,79601
2021-05-21,79620
2021-05-22,79620
2021-05-23,79620
2021-05-24,79711
2021-05-25,79801
2021-05-26,79855
2021-05-27,79888
2021-05-28,79905
2021-05-29,79905
2021-05-30,79905
2021-05-31,79953
2021-06-01,79983
2021-06-02,80049
2021-06-03,80049
2021-06-04,80195
2021-06-05,80196
2021-06-06,80196
2021-06-07,80236
2021-06-08,80309
2021-06-09,80332
2021-06-10,80465
2021-06-11,80501
2021-06-12,80501
2021-06-13,80501
2021-06-14,80517
2021-06-15,80579
2021-06-16,80615
2021-06-17,80634
2021-06-18,80652
2021-06-19,80652
2021-06-20,80652
2021-06-21,80689
2021-06-22,80719
2021-06-23,80748
2021-06-24,80766
2021-06-25,80779
2021-06-26,80779
2021-06-27,80779
2021-06-28,80789
2021-06-29,80829
2021-06-30,80875
2021-07-01,80883
2021-07-02,80911
2021-07-03,80911
2021-07-04,80911
2021-07-05,80934
2021-07-06,80952
2021-07-07,80969
2021-07-08,80997
2021-07-09,81003
2021-07-10,81003
2021-07-11,81003
2021-07-12,81020
2021-07-13,81033
2021-07-14,81043
2021-07-15,81084
2021-07-16,81096
2021-07-17,81096
2021-07-18,81096
2021-07-19,81119
2021-07-20,81148
2021-07-21,81166
2021-07-22,81194
2021-07-23,81221
2021-07-24,81221
2021-07-25,81221
2021-07-26,81268
2021-07-27,81323
2021-07-28,81396
2021-07-29,81442
2021-07-30,81486
2021-07-31,81486
2021-08-01,81486
2021-08-02,81643
2021-08-03,81773
2021-08-04,81844
2021-08-05,81931
2021-08-06,82006
2021-08-07,82006
2021-08-08,82006
2021-08-09,82125
2021-08-10,82227
2021-08-11,82320
2021-08-12,82407
2021-08-13,82470
2021-08-14,82470
2021-08-15,82470
2021-08-16,82595
2021-08-17,82739
2021-08-18,82883
2021-08-19,83004
2021-08-20,83136
2021-08-21,83136
2021-08-22,83136
2021-08-23,83337
2021-08-24,83527
2021-08-25,83690
2021-08-26,83861
2021-08-27,84000
2021-08-28,84000
2021-08-29,84000
2021-08-30,84146
2021-08-31,84340
2021-09-01,84472
2021-09-02,84640
2021-09-03,84795
2021-09-04,84795
2021-09-05,84795
2021-09-06,84928
2021-09-07,85066
2021-09-08,85147
2021-09-09,85218
2021-09-10,85290
2021-09-11,85290
2021-09-12,85290
2021-09-13,85393
2021-09-14,85548
2021-09-15,85638
2021-09-16,85739
2021-09-17,85783
2021-09-18,85783
2021-09-19,85783
2021-09-20,85901
2021-09-21,85983
2021-09-22,86085
2021-09-23,86185
2021-09-24,86229
2021-09-25,86229
2021-09-26,86229
2021-09-27,86298
2021-09-28,86358
2021-09-29,86397
2021-09-30,86415
2021-10-01,86463
2021-10-02,86463
2021-10-03,86463
2021-10-04,86527
2021-10-05,86621
2021-10-06,86678
2021-10-07,86701
2021-10-08,86778
2021-10-09,86778
2021-10-10,86778
2021-10-11,86827
2021-10-12,86827
2021-10-13,86869
2021-10-14,86917
2021-10-15,86974
2021-10-16,86974
2021-10-17,86974
2021-10-18,87030
2021-10-19,87051
2021-10-20,87082
2021-10-21,87102
2021-10-22,87132
2021-10-23,87132
2021-10-24,87132
2021-10-25,87186
2021-10-26,87238
2021-10-27,87289
2021-10-28,87322
2021-10-29,87368
2021-10-30,87368
2021-10-31,87368
2021-11-01,87368
2021-11-02,87423
2021-11-03,87462
2021-11-04,87477
2021-11-05,87504
2021-11-06,87504
2021-11-07,87504
2021-11-08,87558
2021-11-09,87558
2021-11-10,87617
2021-11-11,87647
2021-11-12,87673
2021-11-13,87673
2021-11-14,87673
2021-11-15,87716
2021-11-16,87745
2021-11-17,87775
2021-11-18,87804
2021-11-19,87810
2021-11-20,87810
2021-11-21,87810
2021-11-22,87832
2021-11-23,87866
2021-11-24,87904
2021-11-25,87931
2021-11-26,87955
2021-11-27,87955
2021-11-28,87955
2021-11-29,88008
2021-11-30,88052
2021-12-01,88080
2021-12-02,88122
2021-12-03,88159
2021-12-04,88159
2021-12-05,88159
2021-12-06,88159
2021-12-07,88237
2021-12-08,88237
2021-12-09,88321
2021-12-10,88380
2021-12-11,88381
2021-12-12,88381
2021-12-13,88484
2021-12-14,88542
2021-12-15,88619
2021-12-16,88667
2021-12-17,88708
2021-12-18,88708
2021-12-19,88708
2021-12-20,88793
2021-12-21,88887
2021-12-22,88937
2021-12-23,89019
2021-12-24,89019
2021-12-25,89019
2021-12-26,89019
2021-12-27,89139
2021-12-28,89253
2021-12-29,89331
2021-12-30,89405
2021-12-31,89405
2022-01-01,89405
2022-01-02,89405
2022-01-03,89573
2022-01-04,89689
2022-01-05,89837
2022-01-06,89837
2022-01-07,89934
2022-01-08,89934
2022-01-09,89934
2022-01-10,90136
2022-01-11,90383
2022-01-12,90508
2022-01-13,90620
2022-01-14,90759
2022-01-15,90759
2022-01-16,90759
2022-01-17,90993
2022-01-18,91277
2022-01-19,91437
2022-01-20,91599
2022-01-21,91741
2022-01-22,91741
2022-01-23,91741
2022-01-24,91994
2022-01-25,92376
2022-01-26,92591
2022-01-27,92767
2022-01-28,92966
2022-01-29,92966
2022-01-30,92966
2022-01-31,93225
2022-02-01,93633
2022-02-02,93857
2022-02-03,94040
2022-02-04,94040
2022-02-05,94040
2022-02-06,94040
2022-02-07,94570
2022-02-08,94931
2022-02-09,95213
2022-02-10,95606
2022-02-11,95995
2022-02-12,95995
2022-02-13,95995
2022-02-14,96596
2022-02-15,96906
2022-02-16,97350
2022-02-17,97710
2022-02-18,97998
2022-02-19,97998
2022-02-20,97998
2022-02-21,98462
2022-02-22,98635
2022-02-23,98936
2022-02-24,99162
2022-02-25,99410
2022-02-26,99410
2022-02-27,99410
2022-02-28,99410
2022-03-01,99883
2022-03-02,100037
2022-03-03,100239
2022-03-04,100413
2022-03-05,100413
2022-03-06,100413
2022-03-07,100574
2022-03-08,100859
2022-03-09,100992
2022-03-10,101077
2022-03-11,101135
2022-03-12,101135
2022-03-13,101135
2022-03-14,101135
2022-03-15,101416
2022-03-16,101416
2022-03-17,101416
2022-03-18,101703
2022-03-19,101703
2022-03-20,101703
2022-03-21,101703
2022-03-22,102053
2022-03-23,102053
2022-03-24,102053
2022-03-25,102392
2022-03-26,102392
2022-03-27,102392
2022-03-28,102392
2022-03-29,102218
2022-03-30,102218
2022-03-31,102218
2022-04-01,102541
2022-04-02,102541
2022-04-03,102541
2022-04-04,102541
2022-04-05,102747
2022-04-06,102747
2022-04-07,102747
2022-04-08,103104
2022-04-09,103104
2022-04-10,103104
2022-04-11,103104
2022-04-12,103104
2022-04-13,103104
2022-04-14,103104
2022-04-15,103104
2022-04-16,103104
2022-04-17,103104
2022-04-18,103104
2022-04-19,103104
2022-04-20,103721
2022-04-21,103721
2022-04-22,103908
2022-04-23,103908
2022-04-24,103908
2022-04-25,103908
2022-04-26,104227
2022-04-27,104227
2022-04-28,104227
2022-04-29,104456
2022-04-30,104456
2022-05-01,104456
2022-05-02,104456
2022-05-03,104668
2022-05-04,104668
2022-05-05,104668
2022-05-06,104869
2022-05-07,104869
2022-05-08,104869
2022-05-09,105123
2022-05-10,105123
2022-05-11,105123
2022-05-12,105123
2022-05-13,105444
2022-05-14,105444
2022-05-15,105444
2022-05-16,105444
2022-05-17,105642
2022-05-18,105642
2022-05-19,105642
2022-05-20,105642
2022-05-21,105952
2022-05-22,105952
2022-05-23,105952
2022-05-24,105947
2022-05-25,105947
2022-05-26,106105
2022-05-27,106341
2022-05-28,106341
2022-05-29,106341
2022-05-30,106341
2022-05-31,106341
2022-06-01,106493
2022-06-02,106493
2022-06-03,106797
2022-06-04,106797
2022-06-05,106797
2022-06-06,106797
2022-06-07,106914
2022-06-08,106914
2022-06-09,106914
2022-06-10,107108
2022-06-11,107108
2022-06-12,107108
2022-06-13,107108
2022-06-14,107239
2022-06-15,107239
2022-06-16,107239
2022-06-17,107482
2022-06-18,107482
2022-06-19,107482
2022-06-20,107482
2022-06-21,107604
2022-06-22,107604
2022-06-23,107604
2022-06-24,107799
2022-06-25,107799
2022-06-26,107799
2022-06-27,107799
2022-06-28,107906
2022-06-29,107906
2022-06-30,107906
2022-07-01,108111
2022-07-02,108111
2022-07-03,108111
2022-07-04,108111
2022-07-05,108259
2022-07-06,108259
2022-07-07,108259
2022-07-08,108730
2022-07-09,108730
2022-07-10,108730
2022-07-11,108730
2022-07-12,108974
2022-07-13,108974
2022-07-14,108974
2022-07-15,109348
2022-07-16,109348
2022-07-17,109348
2022-07-18,109348
2022-07-19,109642
2022-07-20,109642
2022-07-21,109642
2022-07-22,110187
2022-07-23,110187
2022-07-24,110187
2022-07-25,110187
2022-07-26,110394
2022-07-27,110394
2022-07-28,110394
2022-07-29,110719
2022-07-30,110719
2022-07-31,110719
2022-08-01,110719
2022-08-02,110713
2022-08-03,110713
2022-08-04,110713
2022-08-05,111094
2022-08-06,111094
2022-08-07,111094
2022-08-08,111094
2022-08-09,111339
2022-08-10,111339
2022-08-11,111339
2022-08-12,111667
2022-08-13,111667
2022-08-14,111667
2022-08-15,111667
2022-08-16,111906
2022-08-17,111906
2022-08-18,111906
2022-08-19,112128
2022-08-20,112128
2022-08-21,112128
2022-08-22,112128
2022-08-23,112246
2022-08-24,112246
2022-08-25,112246
2022-08-26,112454
2022-08-27,112454
2022-08-28,112454
2022-08-29,112454
2022-08-30,112600
2022-08-31,112600
2022-09-01,112600
2022-09-02,112804
2022-09-03,112804
2022-09-04,112804
2022-09-05,112804
2022-09-06,112931
2022-09-07,112923
2022-09-08,112923
2022-09-09,113130
2022-09-10,113130
2022-09-11,113130
2022-09-12,113130
2022-09-13,113279
2022-09-14,113279
2022-09-15,113279
2022-09-16,113725
2022-09-17,113725
2022-09-18,113725
2022-09-19,113725
2022-09-20,113845
2022-09-21,113845
2022-09-22,113845
2022-09-23,114009
2022-09-24,114009
2022-09-25,114009
2022-09-26,114009
2022-09-27,114084
2022-09-28,114084
2022-09-29,114084
2022-09-30,114179
2022-10-01,114179
2022-10-02,114179
2022-10-03,114179
2022-10-04,114262
2022-10-05,114262
2022-10-06,114262
2022-10-07,114468
2022-10-08,114468
2022-10-09,114468
2022-10-10,114468
2022-10-11,114468
2022-10-12,114468
2022-10-13,114468
2022-10-14,114641
2022-10-15,114641
2022-10-16,114641
2022-10-17,114641
2022-10-18,114641
2022-10-19,114641
2022-10-20,114641
2022-10-21,114862
2022-10-22,114862
2022-10-23,114862
2022-10-24,114858
2022-10-25,114858
2022-10-26,114858
2022-10-27,114858
2022-10-28,115078
2022-10-29,115078
2022-10-30,115078
2022-10-31,115078
2022-11-01,115078
2022-11-02,115078
2022-11-03,115078
2022-11-04,115239
2022-11-05,115239
2022-11-06,115239
2022-11-07,115239
2022-11-08,115239
2022-11-09,115239
2022-11-10,115239
2022-11-11,115422
2022-11-12,115357
2022-11-13,115357
2022-11-14,115357
2022-11-15,115357
2022-11-16,115357
2022-11-17,115357
2022-11-18,115641
2022-11-19,115641
2022-11-20,115641
2022-11-21,115641
2022-11-22,115641
2022-11-23,115641
2022-11-24,115641
2022-11-25,115901
2022-11-26,115901
2022-11-27,115901
2022-11-28,115901
2022-11-29,115901
2022-11-30,115901
2022-12-01,115901
2022-12-02,116108
2022-12-03,116108
2022-12-04,116108
2022-12-05,116108
2022-12-06,116108
2022-12-07,116108
2022-12-08,116108
2022-12-09,116422
2022-12-10,116422
2022-12-11,116422
2022-12-12,116422
2022-12-13,116422
2022-12-14,116422
2022-12-15,116422
2022-12-16,116658
2022-12-17,116658
2022-12-18,116658
2022-12-19,116658
2022-12-20,116658
2022-12-21,116658
2022-12-22,116658
2022-12-23,116899
2022-12-24,116899
2022-12-25,116899
2022-12-26,116899
2022-12-27,116899
2022-12-28,116899
2022-12-29,116899
2022-12-30,117095
2022-12-31,117095
2023-01-01,117095
2023-01-02,117095
2023-01-03,117095
2023-01-04,117095
2023-01-05,117413
2023-01-06,117413
2023-01-07,117413
2023-01-08,117413
2023-01-09,117413
2023-01-10,117413
2023-01-11,117413
2023-01-12,117413
2023-01-13,117759
2023-01-14,117759
2023-01-15,117759
2023-01-16,117759
2023-01-17,117759
2023-01-18,117759
2023-01-19,117759
2023-01-20,118183
2023-01-21,118183
2023-01-22,118183
2023-01-23,118183
2023-01-24,118183
2023-01-25,118183
2023-01-26,118183
2023-01-27,118434
2023-01-28,118434
2023-01-29,118434
2023-01-30,118434
2023-01-31,118434
2023-02-01,118434
2023-02-02,118434
